Year,STATEFP,AGDISTRICT,COUNTYFP,yield,planted,Month,Day,systemID,GEOID,INTPTLAT,INTPTLON,NDVI,doy,date
2006,05,90,017,141,14300,06,26,2006_06_26_000000000000000006fa,05017,33.2671393,-91.2971578,0.7354307774862866,176,2006-06-26
2006,05,30,021,173,22000,07,28,2006_07_28_00000000000000000202,05021,36.3673021,-90.4187041,0.7927432625290407,208,2006-07-28
2006,05,30,031,145,5800,07,28,2006_07_28_000000000000000001f5,05031,35.8277285,-90.6314213,0.8004587866108785,208,2006-07-28
2006,05,90,041,183,3400,07,12,2006_07_12_0000000000000000000e,05041,33.8287519,-91.2441034,0.6487112676056338,192,2006-07-12
2006,05,30,055,145,5200,07,28,2006_07_28_00000000000000000201,05055,36.1206072,-90.5663459,0.8142467680608364,208,2006-07-28
2006,05,30,067,156,11000,06,26,2006_06_26_000000000000000001f4,05067,35.5966053,-91.223178,0.7203358680624136,176,2006-06-26
2006,05,90,069,174,8500,07,12,2006_07_12_00000000000000000014,05069,34.2776955,-91.9307012,0.74434,192,2006-07-12
2006,05,60,085,164,4700,06,26,2006_06_26_00000000000000000016,05085,34.7551137,-91.894132,0.654784555984556,176,2006-06-26
2006,05,60,095,152,8400,07,28,2006_07_28_00000000000000000010,05095,34.6795117,-91.2033099,0.7869359157266091,208,2006-07-28
2006,05,60,107,152,5700,06,26,2006_06_26_0000000000000000000c,05107,34.4236874,-90.8555931,0.7815792650918635,176,2006-06-26
2006,05,60,147,152,10500,07,28,2006_07_28_000000000000000001f3,05147,35.1927768,-91.2445353,0.7141933639612046,208,2006-07-28
2006,08,60,125,218.5,223200,08,13,2006_08_13_0000000000000000088c,08125,40.0006314,-102.4226489,0.6040762937062937,224,2006-08-13
2006,17,30,001,129,131000,07,12,2006_07_12_0000000000000000022b,17001,39.9860525,-91.1949607,0.8230610158493963,192,2006-07-12
2006,17,30,009,138,47000,07,12,2006_07_12_0000000000000000022c,17009,39.9620694,-90.7503095,0.838444140328445,192,2006-07-12
2006,17,10,011,178,270000,08,13,2006_08_13_000000000000000002e1,17011,41.4013043,-89.5283772,0.8708327406837819,224,2006-08-13
2006,17,10,015,185,137000,07,28,2006_07_28_00000000000000000246,17015,42.0709,-89.9241894,0.8777051854860547,208,2006-07-28
2006,17,60,017,155,84000,07,28,2006_07_28_00000000000000000234,17017,39.9692024,-90.2457045,0.8474273573527141,208,2006-07-28
2006,17,50,019,180,280000,08,13,2006_08_13_000000000000000002f3,17019,40.13898,-88.1969961,0.8856429777219462,224,2006-08-13
2006,17,60,021,172,219000,07,12,2006_07_12_000000000000000006fd,17021,39.5455242,-89.2795927,0.8595628435413473,192,2006-07-12
2006,17,80,027,126,85000,07,12,2006_07_12_00000000000000000b0a,17027,38.6062953,-89.4262278,0.8107599105767652,192,2006-07-12
2006,17,20,037,181,211000,08,13,2006_08_13_000000000000000002de,17037,41.8946125,-88.768991,0.8612315691591428,224,2006-08-13
2006,17,70,041,168,134000,07,28,2006_07_28_00000000000000000b05,17041,39.766078,-88.2228656,0.8680243768743118,208,2006-07-28
2006,17,70,045,167,171000,07,28,2006_07_28_00000000000000000ad9,17045,39.679037,-87.7471102,0.8840133988995509,208,2006-07-28
2006,17,70,049,145,84000,08,13,2006_08_13_00000000000000000b08,17049,39.0479445,-88.5928488,0.8580944504573961,224,2006-08-13
2006,17,50,053,168,142000,08,13,2006_08_13_000000000000000002f1,17053,40.5965386,-88.2245882,0.8855909999273066,224,2006-08-13
2006,17,90,055,130,35000,07,28,2006_07_28_00000000000000000af9,17055,37.9918483,-88.9262457,0.841867561056654,208,2006-07-28
2006,17,30,057,160,132000,08,13,2006_08_13_00000000000000000237,17057,40.4652401,-90.202268900000007,0.8506099182691987,224,2006-08-13
2006,17,90,059,153,72000,07,12,2006_07_12_00000000000000000af0,17059,37.7686768,-88.2279642,0.8581109400357875,192,2006-07-12
2006,17,60,061,137,109000,07,12,2006_07_12_0000000000000000022e,17061,39.3554444,-90.3877569,0.8505644888284496,192,2006-07-12
2006,17,20,063,170,111000,08,13,2006_08_13_000000000000000002ee,17063,41.2924096,-88.4010545,0.8721267947604266,224,2006-08-13
2006,17,30,067,152,156000,07,28,2006_07_28_0000000000000000023a,17067,40.4057924,-91.1679875,0.8307140806646914,208,2006-07-28
2006,17,30,071,161,92000,08,13,2006_08_13_0000000000000000023b,17071,40.814471,-90.9412464,0.8475720104275073,224,2006-08-13
2006,17,10,073,171,220000,08,13,2006_08_13_00000000000000000240,17073,41.3500209,-90.1308378,0.8698910040195924,224,2006-08-13
