Year,STATEFP,AGDISTRICT,COUNTYFP,yield,planted,Month,Day,systemID,GEOID,INTPTLAT,INTPTLON,NDVI,doy,date
2006,05,60,001,46,190000,07,28,2006_07_28_0000000000000000000f,05001,34.2895697,-91.3765466,0.7935971732940076,208,2006-07-28
2006,05,90,003,27,38000,07,12,2006_07_12_00000000000000000012,05003,33.1908354,-91.7722672,0.6942170374745684,192,2006-07-12
2006,05,90,017,31,128500,07,12,2006_07_12_000000000000000006fa,05017,33.2671393,-91.2971578,0.6491739300229323,192,2006-07-12
2006,05,30,021,37,122500,08,13,2006_08_13_00000000000000000202,05021,36.3673021,-90.4187041,0.8336722778604835,224,2006-08-13
2006,05,30,031,39,95000,07,28,2006_07_28_000000000000000001f5,05031,35.8277285,-90.6314213,0.7746384978414182,208,2006-07-28
2006,05,60,037,39,152500,07,28,2006_07_28_000000000000000001f7,05037,35.2856921,-90.7639835,0.8101239858953712,208,2006-07-28
2006,05,90,041,36,107500,07,12,2006_07_12_0000000000000000000e,05041,33.8287519,-91.2441034,0.675503042096137,192,2006-07-12
2006,05,90,043,30,22500,07,12,2006_07_12_00000000000000000011,05043,33.5872418,-91.7227781,0.6860777925078595,192,2006-07-12
2006,05,30,055,37,78500,08,13,2006_08_13_00000000000000000201,05055,36.1206072,-90.5663459,0.7783203107194835,224,2006-08-13
2006,05,30,067,30,160500,07,28,2006_07_28_000000000000000001f4,05067,35.5966053,-91.223178,0.7385707375030449,208,2006-07-28
2006,05,90,069,37,125000,07,28,2006_07_28_00000000000000000014,05069,34.2776955,-91.9307012,0.7668343238813815,208,2006-07-28
2006,05,30,075,35,90000,08,13,2006_08_13_000000000000000001ee,05075,36.0410983,-91.1011529,0.7682743318831575,224,2006-08-13
2006,05,60,077,27,111000,07,28,2006_07_28_000000000000000001f9,05077,34.7798576,-90.7793454,0.7642611938409305,208,2006-07-28
2006,05,90,079,36,59000,08,13,2006_08_13_00000000000000000013,05079,33.957675,-91.7276258,0.7451433154009761,224,2006-08-13
2006,05,30,093,41,174500,07,28,2006_07_28_000000000000000001ff,05093,35.7669426,-90.0522086,0.8111553267307405,208,2006-07-28
2006,05,60,095,33,99500,07,28,2006_07_28_00000000000000000010,05095,34.6795117,-91.2033099,0.7866184330105112,208,2006-07-28
2006,05,60,107,27,171000,07,12,2006_07_12_0000000000000000000c,05107,34.4236874,-90.8555931,0.7000130004333112,192,2006-07-12
2006,05,30,111,41,170000,07,28,2006_07_28_000000000000000001f6,05111,35.5688702,-90.6811037,0.8184497087245926,208,2006-07-28
2006,05,60,117,42,121000,07,28,2006_07_28_00000000000000000015,05117,34.8311162,-91.5536205,0.7904419884415093,208,2006-07-28
2006,05,60,123,35,142500,07,28,2006_07_28_000000000000000001f8,05123,35.0140258,-90.7421378,0.7966456785820968,208,2006-07-28
2006,05,60,147,31,133500,07,28,2006_07_28_000000000000000001f3,05147,35.1927768,-91.2445353,0.7703058165079402,208,2006-07-28
2006,17,30,001,43,129000,07,12,2006_07_12_0000000000000000022b,17001,39.9860525,-91.1949607,0.8162460323050194,192,2006-07-12
2006,17,20,007,51,47000,07,28,2006_07_28_000000000000000002dd,17007,42.3189831,-88.8242951,0.8537825966006855,208,2006-07-28
2006,17,30,009,45,43000,07,12,2006_07_12_0000000000000000022c,17009,39.9620694,-90.7503095,0.8356743929203542,192,2006-07-12
2006,17,10,011,53,148000,08,13,2006_08_13_000000000000000002e1,17011,41.4013043,-89.5283772,0.88116168129642225,224,2006-08-13
2006,17,10,015,58,55000,07,28,2006_07_28_00000000000000000246,17015,42.0709,-89.9241894,0.8823990389759265,208,2006-07-28
2006,17,60,017,47,60000,07,28,2006_07_28_00000000000000000234,17017,39.9692024,-90.2457045,0.8700608203102305,208,2006-07-28
2006,17,50,019,55,246000,08,13,2006_08_13_000000000000000002f3,17019,40.13898,-88.1969961,0.8962502451103351,224,2006-08-13
2006,17,60,021,54,157000,07,28,2006_07_28_000000000000000006fd,17021,39.5455242,-89.2795927,0.8611467095090471,208,2006-07-28
2006,17,70,025,39,111000,08,13,2006_08_13_00000000000000000afe,17025,38.746832,-88.4823443,0.8513156297950567,224,2006-08-13
2006,17,80,027,36,110000,07,12,2006_07_12_00000000000000000b0a,17027,38.6062953,-89.4262278,0.8050292935196685,192,2006-07-12
2006,17,70,029,51,112000,08,13,2006_08_13_00000000000000000b04,17029,39.5136797,-88.220782,0.873160491879139,224,2006-08-13
2006,17,70,033,45,98000,08,13,2006_08_13_00000000000000000adb,17033,39.0027685,-87.7606208,0.8880207915348188,224,2006-08-13
2006,17,70,035,50,75000,08,13,2006_08_13_00000000000000000b03,17035,39.273121,-88.2406193,0.883323061414013,224,2006-08-13
2006,17,20,037,54,116000,08,13,2006_08_13_000000000000000002de,17037,41.8946125,-88.768991,0.8752287347276535,224,2006-08-13
2006,17,70,041,54,114000,07,28,2006_07_28_00000000000000000b05,17041,39.766078,-88.2228656,0.8770444139862515,208,2006-07-28
2006,17,70,045,53,153000,08,13,2006_08_13_00000000000000000ad9,17045,39.679037,-87.7471102,0.8933859486962574,224,2006-08-13
2006,17,70,049,48,104000,08,13,2006_08_13_00000000000000000b08,17049,39.0479445,-88.5928488,0.8631156134470086,224,2006-08-13
2006,17,70,051,40,144000,08,13,2006_08_13_00000000000000000b09,17051,39.0011246,-89.0179232,0.8448415009226986,224,2006-08-13
2006,17,50,053,50,127000,08,13,2006_08_13_000000000000000002f1,17053,40.5965386,-88.2245882,0.88973334029691,224,2006-08-13
2006,17,90,055,42,84000,08,13,2006_08_13_00000000000000000af9,17055,37.9918483,-88.9262457,0.8617102565087905,224,2006-08-13
2006,17,30,057,48,123000,08,13,2006_08_13_00000000000000000237,17057,40.4652401,-90.202268900000007,0.8628861857241458,224,2006-08-13
