Year,STATEFP,AGDISTRICT,COUNTYFP,yield,planted,Month,Day,systemID,GEOID,INTPTLAT,INTPTLON,NDVI,doy,date
2006,16,10,057,54.8,26500,06,10,2006_06_10_000000000000000005de,16057,46.8189202,-116.7309737,0.7508614778325122,160,2006-06-10
2006,27,10,089,42,193000,06,26,2006_06_26_00000000000000000402,27089,48.3627284,-96.357761,0.7341463182350884,176,2006-06-26
2006,27,10,107,47,138200,06,26,2006_06_26_00000000000000000417,27107,47.3294703,-96.4638068,0.7698922916769939,176,2006-06-26
2006,27,10,119,47,284600,06,26,2006_06_26_000000000000000003ff,27119,47.7742536,-96.4000265,0.7421590390013978,176,2006-06-26
2006,30,30,083,24,148000,06,10,2006_06_10_0000000000000000045f,30083,47.7855132,-104.5633871,0.6499541524459613,160,2006-06-10
2006,38,60,003,43.2,150000,06,26,2006_06_26_00000000000000000414,38003,46.94255,-98.0701946,0.712751955747408,176,2006-06-26
2006,38,20,009,33.8,280000,06,26,2006_06_26_00000000000000000452,38009,48.7944116,-100.8312572,0.7726661439298449,176,2006-06-26
2006,38,60,017,48.8,190000,06,26,2006_06_26_00000000000000000415,38017,46.9270033,-97.2523747,0.74950090135230385,176,2006-06-26
2006,38,30,019,39.2,380000,06,26,2006_06_26_00000000000000000409,38019,48.7684388,-98.4637903,0.7739268854560684,176,2006-06-26
2006,38,30,035,45.5,205000,06,26,2006_06_26_0000000000000000040c,38035,47.9260026,-97.450851,0.7210214847849892,176,2006-06-26
2006,38,60,039,41.6,70000,06,26,2006_06_26_00000000000000000410,38039,47.4563342,-98.2322863,0.7100142948695121,176,2006-06-26
2006,38,40,055,29.1,290000,06,26,2006_06_26_00000000000000000449,38055,47.6530553,-101.4217937,0.6974916255583445,176,2006-06-26
2006,38,80,059,12,220000,06,10,2006_06_10_00000000000000000445,38059,46.7108188,-101.2982647,0.5873884822077764,160,2006-06-10
2006,38,50,093,37.9,150000,06,26,2006_06_26_00000000000000000413,38093,46.9722235,-98.9561228,0.700914159426731,176,2006-06-26
2006,38,30,099,35.6,240000,06,26,2006_06_26_00000000000000000408,38099,48.3769789,-97.7222304,0.7144903013319518,176,2006-06-26
2006,38,10,101,33.7,335000,06,26,2006_06_26_0000000000000000044c,38101,48.2166858,-101.5405369,0.7792474540695387,176,2006-06-26
2006,46,30,037,52.4,69400,06,26,2006_06_26_00000000000000000429,46037,45.3550335,-97.5814295,0.7146827513786704,176,2006-06-26
2006,46,30,039,50.9,18600,06,26,2006_06_26_0000000000000000042a,46039,44.7562899,-96.6902393,0.7173307615542942,176,2006-06-26
2006,46,20,049,20.4,82800,08,29,2006_08_29_00000000000000000438,46049,45.0654764,-99.1535637,0.5441492051503819,240,2006-08-29
2006,46,20,129,17.2,66200,06,10,2006_06_10_0000000000000000043b,46129,45.4276046,-100.0278563,0.47928536913548503,160,2006-06-10
2006,53,50,043,45,88000,06,10,2006_06_10_0000000000000000061f,53043,47.5827433,-118.4176925,0.616302520273394,160,2006-06-10
2006,53,90,075,48.3,112000,06,10,2006_06_10_00000000000000000620,53075,46.9059441,-117.5353898,0.6970303209361607,160,2006-06-10
2007,16,10,057,49.8,28000,06,10,2007_06_10_000000000000000005de,16057,46.8189202,-116.7309737,0.7452674081650047,160,2007-06-10
