Year,STATEFP,AGDISTRICT,COUNTYFP,yield,planted,Month,Day,systemID,GEOID,INTPTLAT,INTPTLON,NDVI,doy,date
2006,05,60,001,46,190000,07,28,2006_07_28_0000000000000000000f,05001,34.2895697,-91.3765466,0.7966590980606019,208,2006-07-28
2006,05,90,003,27,38000,07,12,2006_07_12_00000000000000000012,05003,33.1908354,-91.7722672,0.6668754638161432,192,2006-07-12
2006,05,90,017,31,128500,06,26,2006_06_26_000000000000000006fa,05017,33.2671393,-91.2971578,0.6394927203641917,176,2006-06-26
2006,05,30,021,37,122500,08,13,2006_08_13_00000000000000000202,05021,36.3673021,-90.4187041,0.8235602416304973,224,2006-08-13
2006,05,30,031,39,95000,08,13,2006_08_13_000000000000000001f5,05031,35.8277285,-90.6314213,0.7731352118596397,224,2006-08-13
2006,05,60,037,39,152500,07,28,2006_07_28_000000000000000001f7,05037,35.2856921,-90.7639835,0.7869585796881409,208,2006-07-28
2006,05,90,041,36,107500,07,12,2006_07_12_0000000000000000000e,05041,33.8287519,-91.2441034,0.6549108579082416,192,2006-07-12
2006,05,90,043,30,22500,07,12,2006_07_12_00000000000000000011,05043,33.5872418,-91.7227781,0.6403895586665582,192,2006-07-12
2006,05,30,055,37,78500,08,13,2006_08_13_00000000000000000201,05055,36.1206072,-90.5663459,0.789741798359882,224,2006-08-13
2006,05,30,067,30,160500,08,13,2006_08_13_000000000000000001f4,05067,35.5966053,-91.223178,0.7415321147121265,224,2006-08-13
2006,05,90,069,37,125000,07,28,2006_07_28_00000000000000000014,05069,34.2776955,-91.9307012,0.7579110524895041,208,2006-07-28
2006,05,30,075,35,90000,08,13,2006_08_13_000000000000000001ee,05075,36.0410983,-91.1011529,0.7769694092535843,224,2006-08-13
2006,05,60,077,27,111000,07,28,2006_07_28_000000000000000001f9,05077,34.7798576,-90.7793454,0.7343430890114139,208,2006-07-28
2006,05,90,079,36,59000,08,13,2006_08_13_00000000000000000013,05079,33.957675,-91.7276258,0.7345148710635745,224,2006-08-13
2006,05,30,093,41,174500,07,28,2006_07_28_000000000000000001ff,05093,35.7669426,-90.0522086,0.7985162814522733,208,2006-07-28
2006,05,60,095,33,99500,07,28,2006_07_28_00000000000000000010,05095,34.6795117,-91.2033099,0.7593205687916215,208,2006-07-28
2006,05,60,107,27,171000,06,26,2006_06_26_0000000000000000000c,05107,34.4236874,-90.8555931,0.6947733942601515,176,2006-06-26
2006,05,30,111,41,170000,08,13,2006_08_13_000000000000000001f6,05111,35.5688702,-90.6811037,0.78965345074061,224,2006-08-13
2006,05,60,117,42,121000,07,28,2006_07_28_00000000000000000015,05117,34.8311162,-91.5536205,0.7860169371277264,208,2006-07-28
2006,05,60,123,35,142500,07,28,2006_07_28_000000000000000001f8,05123,35.0140258,-90.7421378,0.7742088980724735,208,2006-07-28
2006,05,60,147,31,133500,07,28,2006_07_28_000000000000000001f3,05147,35.1927768,-91.2445353,0.7547854970002885,208,2006-07-28
2006,17,30,001,43,129000,07,28,2006_07_28_0000000000000000022b,17001,39.9860525,-91.1949607,0.8340444409714283,208,2006-07-28
2006,17,20,007,51,47000,07,28,2006_07_28_000000000000000002dd,17007,42.3189831,-88.8242951,0.8716859147065811,208,2006-07-28
2006,17,30,009,45,43000,07,28,2006_07_28_0000000000000000022c,17009,39.9620694,-90.7503095,0.8490433843331698,208,2006-07-28
2006,17,10,011,53,148000,08,13,2006_08_13_000000000000000002e1,17011,41.4013043,-89.5283772,0.8990620842031293,224,2006-08-13
2006,17,10,015,58,55000,07,28,2006_07_28_00000000000000000246,17015,42.0709,-89.9241894,0.8974669652731012,208,2006-07-28
2006,17,60,017,47,60000,07,28,2006_07_28_00000000000000000234,17017,39.9692024,-90.2457045,0.8821597546060821,208,2006-07-28
2006,17,50,019,55,246000,08,13,2006_08_13_000000000000000002f3,17019,40.13898,-88.1969961,0.9079703194225436,224,2006-08-13
