Year,STATEFP,AGDISTRICT,COUNTYFP,yield,planted,Month,Day,systemID,GEOID,INTPTLAT,INTPTLON,NDVI,doy,date
2006,05,90,017,141,14300,06,26,2006_06_26_000000000000000006fa,05017,33.2671393,-91.2971578,0.7451882576221381,176,2006-06-26
2006,05,30,021,173,22000,07,28,2006_07_28_00000000000000000202,05021,36.3673021,-90.4187041,0.7682676389035599,208,2006-07-28
2006,05,30,031,145,5800,07,12,2006_07_12_000000000000000001f5,05031,35.8277285,-90.6314213,0.7571021406971191,192,2006-07-12
2006,05,90,041,183,3400,06,26,2006_06_26_0000000000000000000e,05041,33.8287519,-91.2441034,0.6653057142857143,176,2006-06-26
2006,05,30,055,145,5200,07,28,2006_07_28_00000000000000000201,05055,36.1206072,-90.5663459,0.7399078656264555,208,2006-07-28
2006,05,30,067,156,11000,06,26,2006_06_26_000000000000000001f4,05067,35.5966053,-91.223178,0.7285838320617661,176,2006-06-26
2006,05,90,069,174,8500,07,12,2006_07_12_00000000000000000014,05069,34.2776955,-91.9307012,0.7763581662227792,192,2006-07-12
2006,05,60,085,164,4700,07,12,2006_07_12_00000000000000000016,05085,34.7551137,-91.894132,0.7363105759466125,192,2006-07-12
2006,05,60,095,152,8400,07,12,2006_07_12_00000000000000000010,05095,34.6795117,-91.2033099,0.7423612087353986,192,2006-07-12
2006,05,60,107,152,5700,06,26,2006_06_26_0000000000000000000c,05107,34.4236874,-90.8555931,0.7330436838580041,176,2006-06-26
2006,05,60,147,152,10500,07,28,2006_07_28_000000000000000001f3,05147,35.1927768,-91.2445353,0.7092234789256053,208,2006-07-28
2006,08,60,125,218.5,223200,07,12,2006_07_12_0000000000000000088c,08125,40.0006314,-102.4226489,0.6012217330538085,192,2006-07-12
2006,17,30,001,129,131000,07,12,2006_07_12_0000000000000000022b,17001,39.9860525,-91.1949607,0.8265164953074665,192,2006-07-12
2006,17,30,009,138,47000,07,12,2006_07_12_0000000000000000022c,17009,39.9620694,-90.7503095,0.8396263400615238,192,2006-07-12
2006,17,10,011,178,270000,07,12,2006_07_12_000000000000000002e1,17011,41.4013043,-89.5283772,0.870302101035853,192,2006-07-12
2006,17,10,015,185,137000,07,28,2006_07_28_00000000000000000246,17015,42.0709,-89.9241894,0.8766080979370243,208,2006-07-28
2006,17,60,017,155,84000,07,12,2006_07_12_00000000000000000234,17017,39.9692024,-90.2457045,0.8521207741657668,192,2006-07-12
2006,17,50,019,180,280000,08,13,2006_08_13_000000000000000002f3,17019,40.13898,-88.1969961,0.8840066546735825,224,2006-08-13
2006,17,60,021,172,219000,07,12,2006_07_12_000000000000000006fd,17021,39.5455242,-89.2795927,0.8705820239957515,192,2006-07-12
2006,17,80,027,126,85000,07,12,2006_07_12_00000000000000000b0a,17027,38.6062953,-89.4262278,0.8205232589368059,192,2006-07-12
2006,17,20,037,181,211000,07,12,2006_07_12_000000000000000002de,17037,41.8946125,-88.768991,0.8688211743451395,192,2006-07-12
2006,17,70,041,168,134000,07,28,2006_07_28_00000000000000000b05,17041,39.766078,-88.2228656,0.8657681231954579,208,2006-07-28
2006,17,70,045,167,171000,07,28,2006_07_28_00000000000000000ad9,17045,39.679037,-87.7471102,0.8819875209963705,208,2006-07-28
2006,17,70,049,145,84000,08,13,2006_08_13_00000000000000000b08,17049,39.0479445,-88.5928488,0.8517959546559912,224,2006-08-13
2006,17,50,053,168,142000,08,13,2006_08_13_000000000000000002f1,17053,40.5965386,-88.2245882,0.8836764012181572,224,2006-08-13
2006,17,90,055,130,35000,07,28,2006_07_28_00000000000000000af9,17055,37.9918483,-88.9262457,0.8373303017022247,208,2006-07-28
2006,17,30,057,160,132000,07,28,2006_07_28_00000000000000000237,17057,40.4652401,-90.202268900000007,0.8514237347799352,208,2006-07-28
2006,17,90,059,153,72000,07,12,2006_07_12_00000000000000000af0,17059,37.7686768,-88.2279642,0.8605191241719303,192,2006-07-12
2006,17,60,061,137,109000,07,12,2006_07_12_0000000000000000022e,17061,39.3554444,-90.3877569,0.8546975215600964,192,2006-07-12
2006,17,20,063,170,111000,07,12,2006_07_12_000000000000000002ee,17063,41.2924096,-88.4010545,0.8735054961922193,192,2006-07-12
2006,17,30,067,152,156000,07,12,2006_07_12_0000000000000000023a,17067,40.4057924,-91.1679875,0.8320169815018579,192,2006-07-12
2006,17,30,071,161,92000,08,13,2006_08_13_0000000000000000023b,17071,40.814471,-90.9412464,0.8449462027125404,224,2006-08-13
2006,17,10,073,171,220000,08,13,2006_08_13_00000000000000000240,17073,41.3500209,-90.1308378,0.8670136716854495,224,2006-08-13
2006,17,50,075,170,330000,08,13,2006_08_13_000000000000000002f4,17075,40.7488665,-87.833601,0.8839491502684623,224,2006-08-13
2006,17,70,079,145,94000,08,13,2006_08_13_00000000000000000b02,17079,39.0048737,-88.1507629,0.8734923639564905,224,2006-08-13
2006,17,10,085,166,81000,07,28,2006_07_28_00000000000000000248,17085,42.3623905,-90.2114705,0.8569959883838734,208,2006-07-28
2006,17,20,089,178,83000,08,13,2006_08_13_000000000000000002f9,17089,41.9395938,-88.4280395,0.830210886270261,224,2006-08-13
2006,17,50,091,167,182000,07,28,2006_07_28_000000000000000002f0,17091,41.1395105,-87.8611165,0.8538637628792014,208,2006-07-28
2006,17,30,095,168,158000,08,13,2006_08_13_00000000000000000241,17095,40.9309412,-90.2137611,0.8580879381379162,224,2006-08-13
2006,17,20,099,182,298000,07,12,2006_07_12_000000000000000002e0,17099,41.3433407,-88.8859312,0.8753125093300861,192,2006-07-12
2006,17,10,103,188,250000,07,12,2006_07_12_000000000000000002df,17103,41.7474419,-89.2993505,0.8739160058597029,192,2006-07-12
2006,17,50,105,176,294000,08,13,2006_08_13_000000000000000002ed,17105,40.8943761,-88.5528518,0.8769333053015905,224,2006-08-13
2006,17,40,107,171,198000,07,28,2006_07_28_000000000000000002e9,17107,40.1291223,-89.3653067,0.8797649733901042,208,2006-07-28
2006,17,30,109,174,146000,07,28,2006_07_28_00000000000000000238,17109,40.4558082,-90.6789543,0.8577294263458325,208,2006-07-28
2006,17,20,111,170,91000,07,28,2006_07_28_000000000000000002fb,17111,42.3242982,-88.452245,0.8392571877745039,208,2006-07-28
2006,17,40,113,182,345000,08,13,2006_08_13_000000000000000002ea,17113,40.4945594,-88.8445391,0.8802159307720973,224,2006-08-13
2006,17,40,115,179,161000,07,12,2006_07_12_000000000000000002ec,17115,39.8602372,-88.9615288,0.8734575662608373,192,2006-07-12
2006,17,60,117,144,199000,07,12,2006_07_12_00000000000000000232,17117,39.2659,-89.9263435,0.8528098260061128,192,2006-07-12
2006,17,60,119,112,104000,07,12,2006_07_12_00000000000000000231,17119,38.8270817,-89.9001953,0.795669418105451,192,2006-07-12
2006,17,70,121,117,62000,07,12,2006_07_12_00000000000000000afd,17121,38.6481057,-88.9204885,0.8138378875834605,192,2006-07-12
2006,17,40,123,174,102000,08,13,2006_08_13_000000000000000002e5,17123,41.0311192,-89.3423714,0.8758871306254199,224,2006-08-13
2006,17,10,131,170,136000,07,28,2006_07_28_0000000000000000023e,17131,41.2047906,-90.7414333,0.8645178394170433,208,2006-07-28
2006,17,80,133,113,45000,07,12,2006_07_12_0000000000000000020f,17133,38.2779831,-90.1790777,0.7795571531163775,192,2006-07-12
2006,17,60,135,139,170000,07,12,2006_07_12_000000000000000006fc,17135,39.228093200000004,-89.4780041,0.8579967891217036,192,2006-07-12
2006,17,60,137,171,139000,07,12,2006_07_12_00000000000000000233,17137,39.7183001,-90.2025434,0.8636359314887586,192,2006-07-12
2006,17,70,139,173,96000,07,12,2006_07_12_00000000000000000b07,17139,39.6368956,-88.6257259,0.8782738613991958,192,2006-07-12
2006,17,10,141,179,205000,07,12,2006_07_12_000000000000000002db,17141,42.041884,-89.3201764,0.864777248831898,192,2006-07-12
2006,17,40,143,171,110000,08,13,2006_08_13_000000000000000002e4,17143,40.7859952,-89.7671064,0.8559671702151836,224,2006-08-13
2006,17,80,145,111,43000,08,13,2006_08_13_00000000000000000700,17145,38.0843809,-89.3685249,0.80349153020079,224,2006-08-13
2006,17,50,147,182,141000,07,28,2006_07_28_000000000000000002f2,17147,40.0090561,-88.5923282,0.880994161572474,208,2006-07-28
2006,17,60,149,160,149000,07,12,2006_07_12_0000000000000000022a,17149,39.6251059,-90.8890344,0.8496161455216401,192,2006-07-12
2006,17,70,159,126,74000,08,13,2006_08_13_00000000000000000aff,17159,38.7115523,-88.0856978,0.8361266513411183,224,2006-08-13
2006,17,80,163,126,83000,07,12,2006_07_12_00000000000000000211,17163,38.4701976,-89.9285459,0.8173851796154762,192,2006-07-12
2006,17,90,165,150,40000,07,12,2006_07_12_00000000000000000af4,17165,37.7515083,-88.5450236,0.8519443802884363,192,2006-07-12
2006,17,60,167,174,240000,07,12,2006_07_12_000000000000000006fe,17167,39.7572579,-89.6620322,0.8653100457944932,192,2006-07-12
2006,17,30,169,140,63000,07,12,2006_07_12_00000000000000000235,17169,40.1569048,-90.6134641,0.8319270488902551,192,2006-07-12
2006,17,70,173,147,177000,07,12,2006_07_12_00000000000000000b06,17173,39.3849258,-88.7988615,0.8576570921866267,192,2006-07-12
2006,17,40,175,179,94000,08,13,2006_08_13_000000000000000002e3,17175,41.0969077,-89.7974111,0.8727759663052788,224,2006-08-13
2006,17,10,177,175,153000,07,28,2006_07_28_000000000000000002da,17177,42.3497262,-89.6659942,0.8655678484931546,208,2006-07-28
2006,17,40,179,176,151000,07,28,2006_07_28_000000000000000002e7,17179,40.5080739,-89.5162597,0.8623654707339458,208,2006-07-28
2006,17,50,183,173,227000,08,13,2006_08_13_000000000000000002f5,17183,40.1867542,-87.7267779,0.8902199361949678,224,2006-08-13
2006,17,30,187,173,144000,07,28,2006_07_28_00000000000000000239,17187,40.8504412,-90.6202228,0.856123115168798,208,2006-07-28
2006,17,80,189,117,87000,07,12,2006_07_12_000000000000000006ff,17189,38.3531405,-89.4171873,0.8017096443393871,192,2006-07-12
2006,17,90,193,150,78000,07,12,2006_07_12_00000000000000000af1,17193,38.087372,-88.1785848,0.8427419376107095,192,2006-07-12
2006,17,10,195,174,211000,07,12,2006_07_12_00000000000000000242,17195,41.7505708,-89.9109567,0.8601364220552509,192,2006-07-12
