Year,STATEFP,AGDISTRICT,COUNTYFP,yield,planted,Month,Day,systemID,GEOID,INTPTLAT,INTPTLON,NDVI,doy,date
2006,05,60,077,66,9700,04,23,2006_04_23_000000000000000001f9,05077,34.7798576,-90.7793454,0.569228,112,2006-04-23
2006,05,60,107,61,6700,07,12,2006_07_12_0000000000000000000c,05107,34.4236874,-90.8555931,0.67489,192,2006-07-12
2006,05,30,111,53,17500,07,12,2006_07_12_000000000000000001f6,05111,35.5688702,-90.6811037,0.6454366302319381,192,2006-07-12
2006,08,60,061,20,175600,04,07,2006_04_07_0000000000000000052f,08061,38.387663,-102.7568494,0.38644850938535147,96,2006-04-07
2006,08,60,063,21.5,244500,04,23,2006_04_23_0000000000000000052c,08063,39.3053399,-102.6030226,0.5005119726797911,112,2006-04-23
2006,16,10,009,65.4,31000,06,10,2006_06_10_000000000000000005df,16009,47.2184513,-116.6335414,0.6794904384896467,160,2006-06-10
2006,17,20,037,84,6100,08,13,2006_08_13_000000000000000002de,17037,41.8946125,-88.768991,0.7192696539940198,224,2006-08-13
2006,17,50,075,85,11800,08,13,2006_08_13_000000000000000002f4,17075,40.7488665,-87.833601,0.8151246697417552,224,2006-08-13
2006,17,40,125,58,9000,08,13,2006_08_13_00000000000000000236,17125,40.2369926,-89.9135746,0.7518556399132321,224,2006-08-13
2006,17,80,133,56,36500,08,29,2006_08_29_0000000000000000020f,17133,38.2779831,-90.1790777,0.7257943141010295,240,2006-08-29
2006,17,80,157,56,43900,08,29,2006_08_29_0000000000000000020e,17157,38.0565149,-89.8212096,0.7760648424023836,240,2006-08-29
2006,17,10,177,77,4600,08,29,2006_08_29_000000000000000002da,17177,42.3497262,-89.6659942,0.7365173913043478,240,2006-08-29
2006,18,30,001,70.6,14700,08,13,2006_08_13_00000000000000000328,18001,40.7457327,-84.9361305,0.7732484954686089,224,2006-08-13
2006,18,30,003,75.8,25400,08,13,2006_08_13_0000000000000000032a,18003,41.0918553,-85.0722302,0.7409300889999032,224,2006-08-13
2006,18,50,031,61.9,5400,07,28,2006_07_28_00000000000000000ac7,18031,39.3059799,-85.499831,0.8312408045977012,208,2006-07-28
2006,18,20,039,76.6,2500,08,13,2006_08_13_00000000000000000331,18039,41.6006928,-85.8639864,0.8011333333333333,224,2006-08-13
2006,18,50,053,75.3,6500,08,13,2006_08_13_0000000000000000031d,18053,40.5157575,-85.6549455,0.8260928964785531,224,2006-08-13
2006,18,50,059,64.3,4500,08,13,2006_08_13_00000000000000000320,18059,39.8225298,-85.7731618,0.8306996930946292,224,2006-08-13
2006,18,60,075,67.4,14700,07,28,2006_07_28_00000000000000000327,18075,40.4349719,-85.0033804,0.756428063323802,208,2006-07-28
2006,18,20,099,69,3300,07,12,2006_07_12_00000000000000000302,18099,41.3250032,-86.2690363,0.8123537257200268,192,2006-07-12
2006,18,40,107,69.9,3000,08,13,2006_08_13_0000000000000000030f,18107,40.0402962,-86.8927145,0.8176990424646127,224,2006-08-13
2006,18,30,113,65.4,5200,07,12,2006_07_12_0000000000000000032c,18113,41.4046795,-85.4172706,0.8056513479052823,192,2006-07-12
2006,18,40,157,73.7,4800,08,13,2006_08_13_0000000000000000030e,18157,40.3891303,-86.8935554,0.809540799342443,224,2006-08-13
2006,18,20,169,78.9,12000,08,13,2006_08_13_0000000000000000031a,18169,40.8437475,-85.7951915,0.8129718260214907,224,2006-08-13
2006,18,30,183,73.7,10000,08,13,2006_08_13_0000000000000000031b,18183,41.1364261,-85.5018918,0.7946398961598126,224,2006-08-13
2006,20,50,009,33,172700,04,23,2006_04_23_00000000000000000945,20009,38.4812394,-98.7678374,0.5627630938538648,112,2006-04-23
2006,20,50,041,44,151000,04,23,2006_04_23_000000000000000009b2,20041,38.8677353,-97.1579434,0.6233058158356661,112,2006-04-23
2006,20,30,057,31,184500,04,23,2006_04_23_00000000000000000958,20057,37.6884159,-99.8847484,0.4936618514101854,112,2006-04-23
2006,20,80,061,47,13900,05,09,2006_05_09_000000000000000009b0,20061,39.002156,-96.7680375,0.6312799487351624,128,2006-05-09
